state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
51000,Virginia,414.6,412.8,416.4,43276,stable,414.6,43276,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
56000,Wyoming,407,400.2,413.9,2963,falling,407.0,2963,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
15000,Hawaii,406.9,402.7,411.1,7853,stable,406.9,7853,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
06000,California,405.6,404.7,406.4,182061,stable,405.6,182061,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
08000,Colorado,396.8,394.5,399.0,25849,falling,396.8,25849,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
04000,Arizona,392.4,390.6,394.3,36011,falling,392.4,36011,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
32000,Nevada,387.7,384.8,390.6,14505,falling,387.7,14505,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
35000,New Mexico,372.9,369.5,376.3,10093,falling,372.9,10093,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
72001,Puerto Rico,344.4,341.9,347.0,16095,falling,344.4,16095,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
09000,Connecticut,146.2,143.9,148.4,3487,rising,146.2,3487,ok,"Breast (All Stages^), 2018-2022",breast,055
10000,Delaware,144.9,140.6,149.3,995,rising,144.9,995,ok,"Breast (All Stages^), 2018-2022",breast,055
37000,North Carolina,144.3,142.9,145.6,9621,stable,144.3,9621,ok,"Breast (All Stages^), 2018-2022",breast,055
27000,Minnesota,141.8,140.0,143.7,4878,rising,141.8,4878,ok,"Breast (All Stages^), 2018-2022",breast,055
33000,New Hampshire,141.5,137.9,145.2,1335,rising,141.5,1335,ok,"Breast (All Stages^), 2018-2022",breast,055
44000,Rhode Island,140.7,136.6,144.8,1020,rising,140.7,1020,ok,"Breast (All Stages^), 2018-2022",breast,055
24000,Maryland,138.6,136.9,140.3,5427,rising,138.6,5427,ok,"Breast (All Stages^), 2018-2022",breast,055
15000,Hawaii,138.4,134.9,142.0,1287,stable,138.4,1287,ok,"Breast (All Stages^), 2018-2022",breast,055
34000,New Jersey,138,136.6,139.4,8181,rising,138.0,8181,ok,"Breast (All Stages^), 2018-2022",breast,055
53000,Washington,137.9,136.3,139.5,6328,rising,137.9,6328,ok,"Breast (All Stages^), 2018-2022",breast,055
25000,Massachusetts,137.5,135.9,139.1,6213,rising,137.5,6213,ok,"Breast (All Stages^), 2018-2022",breast,055
30000,Montana,137.5,133.4,141.7,955,rising,137.5,955,ok,"Breast (All Stages^), 2018-2022",breast,055
55000,Wisconsin,137.5,135.7,139.2,5109,rising,137.5,5109,ok,"Breast (All Stages^), 2018-2022",breast,055
11001,District of Columbia,137.4,131.9,143.1,492,stable,137.4,492,ok,"Breast (All Stages^), 2018-2022",breast,055
19000,Iowa,137.3,134.8,139.7,2716,rising,137.3,2716,ok,"Breast (All Stages^), 2018-2022",breast,055
29000,Missouri,136.6,134.9,138.3,5358,rising,136.6,5358,ok,"Breast (All Stages^), 2018-2022",breast,055
