nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT07504458,leukemia,Leukemia,,leukemia,0,conditions
NCT06244004,prostate,Prostate,,prostate,0,conditions
NCT07734038,leukemia,Leukemia,,leukemia,0,conditions
NCT06502171,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT01804634,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT03484299,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT07281716,colorectal,Colorectal,,colorectal,0,conditions
NCT07076485,breast,Breast,,breast,0,conditions
NCT05125016,prostate,Prostate,,prostate,0,conditions
NCT06535607,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gastric_esophageal;gynecologic;head_neck;lung,0,conditions
NCT03802695,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT07492641,breast,Breast,,breast,0,conditions
NCT07477457,sarcoma,Sarcoma,,sarcoma,1,conditions
NCT06852222,leukemia,Leukemia,,leukemia,0,conditions
NCT06287775,lung,Lung & thoracic,,lung,0,conditions
NCT04234386,breast,Breast,,breast,0,conditions
NCT07222631,lymphoma,Lymphoma,,lymphoma,1,conditions
NCT05774951,breast,Breast,,breast,0,conditions
NCT07659795,colorectal,Colorectal,,colorectal,0,conditions
NCT06922539,lung,Lung & thoracic,,lung,0,conditions
NCT07059494,liver_biliary,Liver & biliary,,liver_biliary,0,conditions
NCT07291037,lung,Lung & thoracic,,lung,0,conditions
NCT05203172,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07467772,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gynecologic;sarcoma,0,conditions
NCT07241039,multi,Multiple cancer types / basket or umbrella,multiple named cancers (title/keywords),head_neck;lung,0,title/keywords
NCT07140900,prostate,Prostate,,prostate,0,conditions
NCT05100095,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT05142605,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07270666,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT07480356,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT05867251,multi,Multiple cancer types / basket or umbrella,multiple named cancers,breast;gynecologic,1,conditions
NCT06047886,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,1,conditions
NCT07025369,prostate,Prostate,,prostate,0,conditions
